ranges,sums,n,average_count
"(1.36e+08,1.38e+08]",879.4942072805464,41,6.796772690190372e-5
"(1.38e+08,1.39e+08]",1101.7284936059882,80,8.514209730271854e-5
"(1.39e+08,1.41e+08]",696.9881809131693,59,5.386357515718091e-5
"(1.41e+08,1.43e+08]",658.3750321650552,60,5.087953282101889e-5
"(1.43e+08,1.44e+08]",907.3783602644506,74,7.01226273881287e-5
"(1.44e+08,1.46e+08]",607.4861366520432,61,4.6946814988501545e-5
"(1.46e+08,1.48e+08]",728.2139086076369,76,5.6276714112141403e-5
"(1.48e+08,1.49e+08]",784.2526858000268,82,6.0607417228317844e-5
"(1.49e+08,1.51e+08]",662.0092345856996,70,5.116038569712408e-5
"(1.51e+08,1.52e+08]",582.0178817338018,64,4.497861624356208e-5
"(1.52e+08,1.54e+08]",646.5424467760972,66,4.99651050446872e-5
"(1.54e+08,1.56e+08]",805.2240754040245,75,6.22280961021052e-5
"(1.56e+08,1.57e+08]",857.3566453935207,76,6.625692568439053e-5
"(1.57e+08,1.59e+08]",321.2190479087077,30,2.4823959433975327e-5
"(1.59e+08,1.61e+08]",195.91720623327237,18,1.5140574046327257e-5
"(1.61e+08,1.62e+08]",274.29472624195586,20,2.1197625737060464e-5
