ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
-3.41	-2.4	-0.34	0.86	1.44	-1.46	0.52		-0.33	-0.85	0.64	-0.83	0.23	0.26	-0.61	0.33	0.46	-0.38
-0.65	-2.05	-1.75	0.1	-0.23	-0.31	-1.2		1.91	-0.85	0.24	1.29	0.64	-2.55	-0.98	0.02	-0.97	2.92
2.66	1.16	-1.75	3.59	1.16	-1.51	1.01		2.59	-0.85	1.25	0.43	-1.12	0.85	-0.23	0.39	-0.22	0.12
-0.24	1.16	0.45	3.59	1.4	-0.09	-4.69		2.59	-3.63	0.92	1.36	-0.36	-0.26	-0.31	0.24	0.22	-0.22
-0.66	-1.55	-1.46	3.59	2.72	-0.56	0.96		2.05	-3.03	1.13	-1.17	-2.46	-1.39	0.28	0.86	0.19	-1.99
-2.49	2.57	0.87	-0.38	1.01	-1.1	0.87		2.46	0.55	1.07	-1.29	-0.5	-1.39	-0.27	0.09	-0.78	-0.03
-0.45	0	0.67	2.48	2.16	0.34	0.31		6.08	-6.42	2.12	-1.29	0.98	0.1	-0.41	0.15	-0.45	-0.52
1.09	-0.76	0.67	2.48	0.32	0.71	-0.26		-0.63	-2.21	3.16	2.59	0.51	-0.41	-0.61	0.24	-0.45	0
-1.09	2.17	0.24	-0.14	-0.31	-0.44	0.44		-0.63	-0.41	1.19	0.98	0.29	-0.03	-0.29	0.14	-1.56	-0.01
-0.33	-0.76	-0.11	-1.8	3.27	-0.89	-0.91		2.14	-0.41	1.19	-1.33	1.19	0.1	0.81	0.1	-1.28	-0.27
