ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
0.83		-0.42	-1.26	0.07	-1.75	0.33		-0.18		0.25	0	-0.22		0.43	-0.69	0.42	
-0.09		-0.18	-0.29	-0.78	0	0.62		2.89		0.25	-0.46	-0.22		-0.01	-1.89	-1.57	
-0.06		1.88	0	0.76	-1.91	0.5		0.93		-0.84	-1.42	0.4		-0.11	0	-0.18	
-0.16		1.76	1.58	-0.1	-1.49	-0.13		-0.44		0.43	-1.42	0.57		-0.35	-2.52	0.06	
0.23		-0.45	0.67	0.36	0.08	1.79		2.75		0.14	2.28	0.16		-0.35	0.3	0.69	
-0.16		-0.13	-2.74	0.02	0	2.62		1.79		0.18	2.28	-0.81		0.02	-0.42	-0.02	
0.09		1.52	0	0.83	-1.48	-0.34		-0.5		0.08	-1.42	-0.47		-0.13	-2.91	-0.49	
0.14		1.52	0	0.83	-1.48	0		0.59		0.08	-1.42	1.13		-0.03	0	-0.29	
0.15		-0.24	0	0.09	-2.78	0		-0.7		-0.56	1.29	0.1		0.11	1.01	0.72	
0.43		0.14	0	-0.12	-0.36	0.32		-0.7		0.19	1.29	-0.01		0.02	0.45	0.16	
0.43		0.14	0.67	-0.12	-0.59	0.5		-0.7		1.23	1.29	0.7		0.02	-0.98	0.57	
-0.26		0.14	0	-0.12	3.71	0.5		-0.24		1.68	1.29	-0.43		0.17	0	0.57	
-0.03		0.16	-3.96	0.3	0	2.44		-0.24		0.33	2.94	1.09		-0.83	0	0.22	
1.07		-0.01	0.67	-0.07	0.21	-0.04		5.21		0.15	-1.62	0.23		0.11	0	-0.5	
-0.1		1.3	-2.1	0.39	0	-0.77		-0.17		0.05	-0.26	-0.19		0.07	0	0.12	
0.04		0.31	0	2.58	-0.04	-0.72		-0.93		0.05	-3.93	-0.1		-0.22	1.77	-1.08	
-0.83		-0.42	0	0.22	1.77	-4.75		3.59		0.37	4.1	0		-0.22	2.39	-1.04	
-0.14		-0.42	-1.25	-0.22	-0.91	0.45		0.46		1.3	4.1	0		0.04	2.76	-1.08	
-0.14		-0.34	2.09	-0.18	-0.42	-0.01		-0.42		-0.45	-1.34	0.43		-0.83	0.94	0.58	
0.04		0.47		7.17	-0.72	0.49		-0.82		2.26	-0.58	-0.1		-0.11	0	0.34	
0.44		0.11		0.48	1.04	1.31		-0.6		2.09	-1.38	-0.31		-0.77	0.31	0.34	
0.04		-0.04		-0.32	-1.26	0.04		-0.34		0.67	2.87	0.96		-0.4	0	0.55	
-0.22		-1.94		1.87	-2.46	1.67		1.62		0.41	-0.46	1.18		0.06	-1.9	0.49	
0.06		0.21		-0.13	-0.96	-0.53		1.52		-1.29	1.87	-0.01		0.31	0	0.49	
0.18		-0.87		-0.27	-2.2	-0.52		0.55		-0.68	1.29	-0.37		-0.29	0	0.49	
0.24		1.48		-0.2	0.92	-0.52		0.55		-1.27	1.29	-0.37		-0.1	-1.9	0.06	
0.43		-0.15		-0.11	2.35	1.13		0.13		0.55	0.5	-0.34		-0.21	0	-0.13	
0.24		-0.38		-0.49	0	1.13		3.43		0.6	0	0.01		-0.05	1.87	0.87	
0.25		0.97		-0.55	0	1.13		0.45		-0.63	-4.11	0.18		0.2	-2.48	1.89	
-0.26		1.26		0.32	-3.19	1.13		-0.83		0.35	1.02	0.41		0.08	0	0.42	
-0.5		1.26		0.32	0.57	-0.14		-2.74		-0.06	0.5	0.47		0.07	0	1.44	
0.19		3.01		0.02	-0.74	-0.14		2.27		4.2	-0.46	-0.15		-0.15	1.87	-0.14	
0.13		-0.1		-0.25	2.05	-0.14		1.94		0.45	-0.46	0.2		-0.15	0	-0.96	
-0.2		1.33		-0.26	-2.87	-0.16		-0.76		0.98	-0.46	0.2		0.01	0	0.41	
1.14		-0.31		-0.12	0.89	0.23		-0.45		-1	0	4.06		0.14	-2.48	0.26	
-0.32		-0.23		0.75	1.35	0.66		2.53		-1.09	1.29	-0.61		-0.02	0	0.19	
0.02		0.24		0.47	0	0.86		2.53		-0.13	-3.35	-0.59		0.24	1.87	0.19	
0.19		0.16		-0.53	2.44	0.86		-0.37		-0.35	0	0.29		0.03	0.04	-0.01	
-0.24		-0.07		0.05	1.13	0.28		1.01		1.19	0	-0.88		0	0	0.09	
-0.19		1.26		0.11		-0.27		0.42		0.48	1.07	-0.6		0.21	-0.2	0.73	
0.47		0.48		0.34		-0.27		0.03		0.87	0	0.34		0.02	-0.94	0.73	
-0.06		0.71		-0.77		1.09		5.43		0.45	1.91	-1.12		0.73	-1.5	0.32	
0.24		-0.19		0.59		1.09		-0.37		-0.29	0.32	0.13		-0.73	0.25	0.3	
-0.28		-0.22		0.34		1.41		0.23		0.58	1.46	-0.17		-2.24	0	1.78	
0.19		-0.22		-0.43		-0.28		0.19		0.12	0.5	0.28		-0.37	0	0.33	
-0.42		0.13		0.71		-0.37		-0.36		-0.71	-2.34	0		-0.08	2.12	-1.08	
0.18		-0.26		0.91		-0.76		-0.36		1.05	0	0.54		1.83	-1.9	0.01	
-0.07		0.34		0.11		-0.76		-0.36		1.05	0	1.35		-0.08	0	0.01	
-0.06		3.76		-0.11		-1.03		1.77		0.27	0	-1.17		0.11	0.94	-0.14	
-0.56		1		2.63		0.09		2.56		0.36	0	0.08		0.85	-0.94	0.09	
0.86		3.14		0.4		-1.5		1.79		1.16	2.51	1.62		0.08	-0.54	-0.63	
-0.21		1.31		0.55		-1.24		1.99		-0.12	2.3	0.23		-0.03	-0.54	0.24	
-0.03		3.75		3		1.03		0.13		0.27	-1.42	-0.01		-0.02	2.85	0.04	
-0.79		0.38		-0.26		-4.93		0.13		0.17	1.47	0.15		0	2.8	0.45	
0.03		-0.35		1.31		-0.22		2.03		1.34	0.92	0.48		1.15	-1	0.54	
0.08		-0.07		1.88		-0.22		2.03		0.59	1.29	-0.02		0.31	-0.98	0.09	
0.19		5.4		1.88		1.69		3.21		0.59	1.91	0.25		0.05	1.88	-0.02	
0.53		-0.37		-0.29		-0.33		0.95		0.89	0	0.11		0.05	-0.93	0.22	
0.53		-2.54		-0.49		0.19		-0.07		0.89	-0.4	0.42		-0.31	-1.89	0.89	
0.2		-0.17		0.14		0.03		-0.07		2.14	-1.42	1.34		0.15	0.94	0.31	
-0.05		-0.69		2.38		0.16		5.28		3.69	0	-0.22		-0.62	0.34	0.61	
-0.06		-0.45		-0.26		0.16		5.56		-0.13	0.26	0.14		0.03	0	0.21	
0.06		0.78		-0.23		0.03		2.99		0.39	0.5	0.26		0.01	-2.48	-0.1	
-0.35		1.12		-0.12		0.11		8.52		1.32	-1.42	0.4		0.08	-0.87	-0.1	
-0.49		-0.14		-0.21		1.49		-0.19		1.16	0	-0.67		0.09	0	0.36	
-0.11		0.09		0.69		-0.18		-0.19		0.28	2.22	0.49		-0.4	0.86	-0.22	
-0.37		-0.36		1.79		1.42		0.17		1.13	1.99	-0.13		-0.22	2.86	-0.3	
-0.26		2.44		1.79		-0.08		0.18		1.11	-1.42	0.52		-0.42	0	0.12	
-0.26		0.02		1.12		-0.11		0.72		1.16	-1.24	0		0.11	0.94	-0.45	
0.04		-0.22		-0.09		0.39		0.72		-0.08	0.14	0.03		-0.09	-2.36	0.2	
-0.17		0.21		1.53		1.17		7.96		0.22	1.29	1.49		-0.08		-1.3	
-0.2		-0.05		-0.27		-0.36		0.12		0.39	0	1.49		-0.23		-0.75	
-0.47		-0.52		-0.27		-0.36		-1.27		0.67	0.81	0.49		0.2		0.23	
0.22		1.06		0.09		1.51		-0.5		0.67	0	-0.04		0.2		0.25	
-0.32		1.06		1.92		0.16		1.72		-4.02	0.58	0.5		0		0.2	
-0.2		-0.02		0.73		-0.44		-1.04		0.99	1.46	0.64		-0.14		0.05	
-0.23		0.91		0.03		-0.63		1.29		0.69	0	-0.94		-0.08		-0.22	
0.23		-0.04		0.97		0.02		-0.64		0.1	2.29	-0.34		0		-0.44	
-0.21		0.13		0.14		0.69		0.39		0.97	-1.42	-0.13		-0.28		-1.15	
-0.06		1.42		0.14		0.38		4.83		0.13	0.61	-0.61		0.23		0.13	
0.33		-0.16		0.14		0.23		4.83		0.78	0.5	1.06		0.01		1.95	
0.55		1.06		2.26		0.2		0.07		-0.03	0	0.11		0.42		-0.33	
-0.53		0.03		2.26		0.2		-0.49		0.07	-4.49	-0.09		-0.03		0.72	
-0.12		1.2		-0.16		-0.15		-0.34		0.28	0	-0.06		0.29		0.08	
0.03		1.2		1.89		0.41		0.08		0.33	-1.42	0.56		-0.31		0.5	
-0.45		-0.26		0.04		-0.1		4.53		0.08	0.5	-0.79		-0.19		-0.18	
-0.01		0.6		2.14		-1.14		-0.27		2.68	-1.56	0.1		0.13		0.13	
-0.05		-0.1		-0.68		-1.36		-0.46		-0.07	-2.84	0.61		-0.35		0.13	
0.11		0.62		0.22		-0.29		3.43		2.36	0	0.08		-0.72		0.77	
-0.19		-0.67		1.75		0.69		3.43		-0.74	-4.46	1.27		0.11		-0.32	
-0.1		0.76		-2.35		-0.14		3.43		-0.27	0	0.21		0.15		-0.44	
0.23		0.59		0.02		3.87		3.43		0.82	0	0.31		0.12		-0.13	
-0.02		-1.86		0.83		0.15		-0.88		2.93	0.15	-0.75		-0.05		0.16	
0.04		1.12		-0.23		-0.01		2.87		2.93	0	-0.49		0.63		0.41	
0.09		-0.23		1.98		0.65		2.87		0.29	-2.84	-0.02		-0.02		0.4	
-0.21		-0.23		-2.02		0.65		0.49		-0.66	-3.35	0		1.78		0.42	
0.07		0.92		-0.29		0.65		0.79		-0.2	-2.84	0.2		0.01		-0.86	
-0.36		-0.57		0.51		-0.31		0.79		0.54	0	0.36		0.18		-0.15	
-0.16		-0.57		0.76		-0.27		0.79		0.32	-4.29	0.23		0.07		0.25	
-0.48		0.27		0.65		-0.27		-0.44		0.15	-1.6	0.3		0.15		-0.05	
0.31		0.08		-0.39		0.38		2.18		0.14	0.5	0.29		0.1		0.52	
-0.05		1.77		1.65		0.23		1.74		0.21	0.05	0.21		0.18		-1.03	
-0.21		0.14		0.18		0.56		1.71		0.21	-0.46	-0.87		1.64		-1.03	
0.65		1.3		0.75		0.3		1.71		-1.81	-1.42	0.16		0.12		-0.18	
0.65		1.3		0.08		0.13		1.71		1.11	1.42	-0.37		-0.13		-0.4	
-1.05		1.3		0.91		-0.75		-0.46		0.76	-1.42	0.95		0.45		-1.13	
0.37		1.38		0.91		-0.75		2.85		-0.93	-0.5	-0.56		0.12		-1.15	
0.36		3.4		0.22		2.89		2.62		3.6	0.5	-0.23		0.12		0.16	
-0.03		0.22		-0.09		-0.1		0		0.12	1.88	-0.05		-0.22		0.36	
0.14		-0.62		-0.38		-0.52		0		0.36	2.24	0.72		-0.01		0.18	
-0.15		-1.36		2.3		-0.07		-1.04		0.36	-0.97	-0.26		0.26		-2	
-0.25		0.11		2.27		-0.03		1.93		2.17	-1.21	0.29		0.21		0	
0.16		0.71		1.25		8.36		1.93		-0.15	-0.21	0.29		-0.29		0.48	
0.81		-0.11		0.34		0.37		0.13		1.39	1.63	-0.75		0.05		0.56	
-0.05		1.73		0.5		-0.16		0.54		1.19	1.63	0.75		0.7		-0.7	
-0.37		0.86		1.62		1.25		-0.01		-0.32	0.5	-0.71		0.12		1.86	
0.32		0.97		1.14		1.25		1.49		0.07	-1.12	0.52		0.01		0.26	
-0.11		1.32		0.69		0.38		1.53		0.07	0	0.52		0.12		0.23	
-0.19		0.34		0.69		-0.04		0.12		-0.17	1.88	0.31		0		0.09	
0.03		0.34		0.68		-0.12		0.28		0.26	0	0.31		-0.04		2.24	
-0.2		0.31		-0.04		-0.03		0.28		0.59	0.87	1.06		-0.07		0.48	
-0.21		0.84		0.15		-0.21		0.52		-0.14	2.28	0		0.04		0.15	
-0.1		-0.18		-0.02		-0.6		2.83		-0.14	0	-0.32		1.8		0.09	
-0.13		0.55		-0.05		-0.87		-0.52		0.15	0.03	1.63		1.8		0.49	
-0.01		2.23		-0.1		-0.87		-0.52		0.43	0	1.63		-0.04		-0.16	
-0.37		-0.62		-1.28		0.49		0.15		0.43	0.5	0.03		0.16		2.19	
-0.46		-0.12		-0.05		0.17		4.92		0.43		0.01		0.33		-0.97	
-0.46		1.25		-0.59		0.17		0.31		0.13		-0.23		0.07		0.92	
-0.64		-0.15		-0.48		-0.18		2.79		-0.15		1.68		0.15		0.23	
0.08		-0.34		-0.25		-0.59		0.94		1.14		0.56		0.08		0.23	
-0.1		0.12		0.96		0.26		1.04		0.81		0.56		0.45		0.44	
-0.14		1.05		-0.88		0.29		3.65		-0.32		0.46		0.45		0.29	
-0.46		0.06		1.17		-0.15		2.02		0.39		0		0.05		0.66	
0.02		-0.14		-0.41		0.26		1.67		0.44		0.34		0.03		-0.25	
-0.45		0.43		-0.13		0.03		1.55		0.37		0.49		0.4		-0.36	
-0.45		-0.31		2.75		-0.07		1.55		0.26		0.06		0.84		-0.16	
-0.66		-0.02		3.83		-0.22		0.59		0.28		0.38		0.17		-0.29	
-0.04		2.6		-0.42		0.09		-0.21		-0.12		1.26		-2.72		3.48	
0.19		-2.11		-0.42		0.55		-0.44		0.2		-0.09		-0.1		0.59	
-0.07		-0.01		-0.25		0.58		-0.2		-0.05		-0.43		0.24		-0.5	
-0.17		0.82		1.4		-0.52		3.26		0.15		0.18		0.14		0.34	
0.03		2.07		1.4		0.31		0.1		0.22		-0.62		0.2		-0.46	
0.05		2.07		3.97		-0.26		0.69		0.11		-1.41		0.39		0.24	
-0.1		0.07		-0.38		-0.46		1.22		-0.2		0.36		0.13		-0.16	
-0.1		-0.16		-2.17		0.19		2.29		-0.21		-0.94		0.72		-1.32	
0.61		-0.21		-0.6		-1.21		2.29		0.78		-0.94		-0.04		-0.47	
-0.31		-0.11		0.23		-0.04		2.03		0.78		0.51		0.26		0.26	
0.13		-0.3		7.53		0.13		-0.64		1.66		0.29		-0.45		0.59	
0.11		-0.49		0.01		0.13		2.7		-0.2		-0.31		-0.45		-0.34	
-0.45		0.08		0.42		0.44		1.44		2.09		-0.18		0.07		0.31	
0.48		-0.15		-0.15		-1.41		-0.32		0.17		0.73		0.42		-0.47	
0.48		-0.15		0.25		0.19		-0.32		1.31		-0.28		-2.01		0.01	
0.06		-0.13		0.25		1.55		0.07		1.31		-0.52		0.1		0.16	
-0.07		3.17		0.89		0.01		0.41		0.55		-2.35		-1.53		0.57	
-0.33		0.03		0.89		0.07		0.1		-0.02		-0.94		0		0.15	
-0.14		0.03		-0.03		-0.77		-0.86		-0.07		-0.39		-0.64		0.04	
-0.29		1.4		1.76		-0.11		0.05		0.47		-0.16		-0.64		-1.12	
-0.42		0.43		-1.69		0.99		0.24		0.47		-0.06		-0.27		-1.12	
-0.48		1.04		2.05		0.57		-1.35		0.3		0.34		0.56		0.13	
0.04		-0.11		1.94		0.94		1.81		0.47		0.48		-0.02		-0.37	
0.11		2.05		0.85		0.94		4.01		0.84		-0.23		0.41		-2.44	
-0.21		-0.27		0.85		0.22		4.01		0.08		-0.19		-0.87		0.3	
-0.21		-0.27		-0.2		-0.15		0.5		-0.38		2.28		0.36		0.6	
-0.02		3.73		1.31		-0.15		-0.26		1.12		0.39		0.01		0.17	
-0.14		0.71		-0.06		3.44		-0.37		-0.33		-0.98		-0.29		-0.35	
-0.14		-0.77		0.05		1.96		1.3		-0.33		0.02		0.56		0.35	
0.22		-0.08		0.72		-0.03		1.3		-0.37		0.04		0.56		0.41	
-0.32		-0.04		0.72		-0.18		-1.46		2.04		-1.47		0.29		-0.76	
-0.32		0.95		0.08		0.28		-0.32		-0.38		1.89		-0.1		0.19	
-0.34		0.95		0.36		0.23		0.08		-0.12		0.22		-1.43		0.39	
0.05		1.28		0.12		3.27		0.03		-0.05		-0.39		-0.03		0.08	
0.03		-0.23		-0.03		-0.47		-1.33		1.71		1.53		-0.1		0.12	
0.08		-0.23		0.68		0.69		-1.26		0.35		-0.03		0.94		0.38	
0.08		1.45		0.54		-0.75		-0.59		0.35		2.74		-0.22		-1.13	
-0.12		-0.1		0.54		-0.61		-0.59		0.29		-0.48		-0.06		0.29	
0.17		1.34		-0.64		-0.2		0.34		0.97		1.48		-0.2		0.32	
0.05		1.34		-0.68		1.15		0.34		2.62		-0.63		0.15		-0.53	
-0.23		-0.12		2.18		1.15		0.07		0.59		-0.29		0.02		-2.05	
0.47		-0.12		0.29		-0.2		6.18		0.48		2.23		0.02		0.42	
0.11		-0.12		0.29		-0.37		0.87		0.48		-1.39		0.02		0.27	
0.11		0.55		1.46		-0.42		-0.15		-0.19		0.18		0.25		-0.96	
-0.09		-0.18		0.35		-0.42		-0.11		0.24		1.23		0.91		-0.08	
0.06		1.22		-0.65		-0.42		1.09		0.51		-0.09		0.18		-0.19	
-0.08		0		-0.21		0.02		1.09		0.5		0.06		0.18		0.35	
-0.05		0.08		0.38		1.09		1.09		-0.55		-0.13		0		-0.16	
-0.14		-0.32		-0.15		-0.08		1.47		0.22		0.13		-0.08		0.25	
1.01		0.08		0.76		-0.24		0.65		0.16		-0.66		-2.48		0.08	
0.32		0.08		1.28		-0.2		6.75		0.27		0.01		-2.58		0.42	
-0.11		-0.5		3.39		-0.04		0.81		-0.08		-1.34		0.25		0.67	
-0.19		-0.69		3.39		-0.03		0.3		1.3		0.52		-0.81		0.23	
0.05		0.07		3.39		0.47		1.13		1.3		-0.05		0.07		0.7	
0.12		-0.21		1.5		-0.16		6.81		0.05		0.41		-0.23		1.21	
-0.15		0.05		0.29		-1.26		0.88		0.86		-1.57		-0.15		0.23	
0.33		-0.18		1.49		-0.35		-0.68		-0.14		0		-0.19		-0.25	
0.07		0.06		0.45		0.77		0.01		-0.31		-0.14		0.15		0.21	
-1.68		0.21		-0.45		0.77		1.62		0.56		-0.69		-0.02		-0.24	
-0.22		0.03		-1.07		1.1		0.14		2.42		-0.66		0.14		0.33	
-0.2		0.39		0.41		-0.06		1.18		-0.32		0.21		0.05		-0.58	
-0.4		-0.16		1.17		1.02		1.18		0.19		-0.2		-0.5		0.45	
-0.18		-0.07		2.95		-0.79		1.85		0.98		0.09		0.04		-0.52	
0.02		-0.03		0.42		-0.79		1.86		0.02		-0.77		-0.1		-0.15	
-0.15		-0.55		0.42		0.04		10.06		0.54		0.1		-0.36		0.23	
-0.44		0.48		0.42		1.89		0.92		2.02		-0.46		-0.9		0.23	
0.13		0.1		1.6		0.08		-0.82		-0.26		-0.47		0.08		0.23	
-0.26		0.52		-0.04		-0.46		-1.4		-0.48		-0.27		-0.79		0.68	
-0.23		0.52		0.84		-1.19		-0.19		0.1		0.64		0.44		-0.08	
-0.92		0.11		4.28		0.43		-0.19		-0.01		-0.17		0.44		0.66	
-0.21		-0.1		1.36		-0.01		0.13		-0.3		-2.08		0.05		0.25	
-0.21		0.7		2.49		0.65		-0.9		0.2		0.53		-0.44		-0.41	
-0.21		0.7		2.53		-0.07		-0.94		-0.42		0.3		0.2		0.25	
-0.13		-0.13		2.53		-0.07		0.3		0.75		-0.37		0.2		0.4	
0.33		-0.29		2.07		1.81		-0.29		0.22		-3.07		0.01		-0.65	
-0.07		-0.43		2.07		1.81		-0.22		0.51		-1.07		-0.58		-0.02	
-0.04		0.12		-0.91		-0.07		-0.25		0.83		0.85		0.4		0.23	
-0.11		0.08		0.31		1.98		1.44		-0.53		0.1		0.02		0.61	
-0.11		-0.2		0.92		1.45		-0.19		0.13		-0.26		0.11		0.18	
0.32		-0.06		0.69		1.45		0.4		0.13		0.25		-0.12		0.78	
0.47		-0.55		0.21		0.59		-0.26		-0.24		0.53		0.31		0.15	
0.17		-0.55		0.61		-0.86		-0.6		-0.78		-0.73		0.13		1.31	
-0.26		0.05		0.31		0.03		-0.24		-0.44		-2.1		0.28		-0.3	
-0.04		-0.19		0.16		0.09		-0.42		0.61		0		-0.01		0.36	
0.04		2.03		0.89		-0.5		-0.22		-0.21		0.43		0.11		-0.52	
-0.37		-0.12		-0.03		-0.5		-0.64		-0.06		-2.86		0.22		-0.06	
-0.2		-0.91		2.41		0.13		-1.26		-0.06		-2.86		-0.99		-0.06	
-0.2		-0.91		1.35		0.23		-0.7		-0.29		0		0.32		-0.47	
0.07		-0.23		0.09		1.64		-0.05		0.12		-0.94		0		1.85	
-0.05		0.86		1.35		0.13		-0.05		0.69		-0.51		-0.18		0.16	
-0.41		1.04		0.96		-0.37		0.96		-0.38		-1.86		0.44		-0.96	
0.03		-0.09		-0.03		-0.09		0.96		0.45		-0.94		-0.38		-0.55	
0.2		-0.46		1.43		-2.96		7.86		0.43		0.99		0.07		-1.02	
-0.28		-0.56		0.52		0.12		0.16		0.19		0.99		-0.83		0.73	
0.16		-0.13		1.24		1.26		1.67		-0.09		-0.89		-0.05		0.52	
-1.17		2.85		1.24		-0.14		-0.45		2.17		0.03		-0.27		0.74	
-0.43		0.17		0.32		1.7		1.49		-0.74		0		0.33		0.32	
0.07		-0.23		1.16		-1.8		1.49		0.24		0		-0.5		0.44	
0.31		-0.05		-0.33		-0.93		-0.54		-0.13		0		0.05		0.6	
0.7		1.32		0.53		0.19		-0.84		0.46		1.52		0		0.6	
0.05		3.68		0.53		2.59		0.43		0.26		1.88		0.1		-0.21	
0.25		0.28		-0.22		0.81		-0.36		0.33		-1.47		-0.36		1.26	
0.04		0.04		-0.22		1.53		2.46		-0.31		0.34		-4.19		-1.11	
0.24		-0.02		1.24		-0.62		-0.85		0.77		3.49		0.22		0.29	
0.14		0.64		-0.17		2.48		0.65		0.77		-0.89		0.84		0	
-0.2		-0.22		1.03		2.48		2.03		0.77		0		1.17		0.04	
-0.47		-1.73		-0.03		0.09		0.12		-0.17		0		-0.12		-1.27	
-0.03		0.2		0.48		-0.01		-0.37		0.49		0		0.07		0.64	
0.17		2.02		-0.22		0.86		-0.37		1.47		0		-0.09		0.28	
0.11		1.55		-0.71		-0.07		-0.66		0.28		1.91		-0.09		0.2	
-0.5		1.65		1.09		0.13		-0.23		-0.07		-2.15		-3.86		0.32	
0.04		-0.22		-0.24		-0.66		0.27		0.1		0		0.16		0.51	
0.82		-0.14		0.46		-0.25		0.27		1.02		1.84		-0.68		0.14	
-0.2		0.9		-0.16		0.01		-0.03		-0.12		0		-0.42		0.34	
-0.37		0.9		-0.27		0.7		-1.06		-0.25		1.89		-0.42		0.49	
-0.19		-0.52		0.7		0.7		0		0.26		1.89		-0.01		-1.13	
0.32		0.46		0.7		-0.29		2.42		1.41		-2.77		-0.06		0	
-0.06		-0.34		0.7		0.08		-0.65		0.57		0.99		0.48		0	
-0.15		1.35		-0.1		1.2		-0.42		-0.14		-2.12		-0.16		0.52	
-0.95		-0.3		0.89		-0.79		0.83		0.13		-0.89		-0.1		0.07	
-0.26		-0.49		0.22		0.61		-0.3		-0.06		0.01		-0.7		0.31	
-0.13		0.02		0.06		-1.66		-0.04		0.68		0.04		0.12		-0.69	
0.13		-0.25		1.96		-0.09		-0.04		0.68		-0.97		0.12		0.35	
0.12		1.38		-0.58		-0.4		1.23		0.27		0		-0.09		-0.88	
0.18		-0.05		3.25		-0.2		3.88		0.45		0.99		-0.09		-0.09	
-0.7		-0.86		1.18		-0.41		0.35		0.08		0		-0.36		-2.78	
-0.03		-0.13		-0.69		0.36		-0.23		0.17		-1.43		0.24		0.6	
-0.05		1.85		3.38		-0.51		-0.11		1.84		0		0.05		-0.59	
0.19		0.21		-0.11		0.1		-0.11		0.79		0		-0.59		0.02	
0.11		-0.17		2.32		-0.21		-0.16		0.11		0.89		0.07		-0.37	
0.11		-0.17		0.93		-0.41		0.27		-0.2		0		3.37		0.01	
0.11		6.05		-0.16		1.65		0.09		-0.08		0		-1.02		-1.04	
-0.17		-0.02		3.33		1.66		0.25		0.72		0		-0.42		-1.04	
0.26		-0.03		-1.22		0.64		1.86		-0.02		-2.12		0.01		-0.2	
-0.02		-0.07		2.6		0.17		-0.86		0.8		-0.56		-0.97		2.49	
-0.37		-0.36		0.1		0.55		2.9		-0.41		0		-0.08		-2.88	
0.39		-0.15		0.81		0.32		-1.05		-0.41		0.99		-3.18		-1.99	
0.15		-0.36		0.4		0.68		-0.49		0.24		0		-3.18		0.02	
-0.19		0.12		1.96		-0.05		0.14		0.24		-0.68		-0.3		-1.65	
0.09		-0.01		0.23		1.14		-0.2		-0.19		1.89		-0.29		0.43	
0.16		-0.13		-0.08		-0.12		1.1		-0.06		0.07		0.04		0.29	
0.37		0.32		0		-0.24		2.62		1.66		1.26		0.16		0.3	
-0.63		0.08		-0.33		0.99		1.66		0.02		1.26		0.04		0.3	
0.05		0.15		0.04		0.81		-0.1		0.81		1.26		0.25		4.67	
0.04		0.02		-0.79		0.1		0.25		0.84		1.26		0.02		0.46	
-0.03		-0.73		0.04		-0.12		0.72		0.36		0		-0.43		0.46	
0.08		0.04		-0.72		1.78		-0.48		-0.17		0.03		0.11		-0.53	
0.85		-0.11		0.65		0.27		-0.48		-0.41		0		0.21		-0.06	
-0.43		0.17		0.5		0.27		-0.48		0.91		2.87		-0.12		0.34	
-0.02		0.17		0.42		0.1		8.23		0.38		0.99		-0.24		0.52	
0.38		-0.33		-0.88		0.11		0.2		0.51		0		0.96		0.02	
0.25		0.04		1.63		-0.16		-0.37		0.03		-2.7		0.32		-2.32	
-0.15		0.04		2.01		-0.26		-0.85		0.49		0.99		-0.02		-2.32	
-0.33		-0.38		0.54		-0.2		0.1		1.03		2.27		-1.88		-0.56	
-0.97		0.38		-0.3		-0.01		-0.13		1.76		-0.94		-1.88		-0.78	
-0.97		1.38		1.37		-0.2		-0.99		0.01		-0.94		-1.88		-0.35	
-0.09		1.38		-0.88		2.68		0.15		2.92		0		-0.35		-0.85	
-0.24		-0.4		-0.24		-1.01		0.45		0.14		0		-0.35		0.29	
-0.36		0.09		0.79		-0.18		0.46		1.74		1.51		-0.36		-0.14	
-0.1		-0.48		-0.34		-0.93		2.45		-0.03		0		-1.86		0.45	
0.81		0.86		-0.11		-0.06		5.13		-0.7		0		-0.22		-0.12	
-0.2		-0.03		1.53		0.15		-0.69		-0.51		0.89		0.34		-0.4	
0.13		-0.09		0.73		-0.5		2.69		0.27		0.95		-0.63		0.47	
-0.1		-0.93		-0.18		-0.3		4.06		-0.02		0.41		0.03		0.17	
-0.21		-0.23		-0.32		-0.59		4.06		-0.91		-3.18		-0.06		-0.6	
0.18		-0.52		-0.14		0.57		4.06		0.13		0		0.05		0.99	
-0.39		0.1		1.02		-0.71		0.44		-0.26		-0.71		-0.25		0.16	
-0.32		-0.12		0.23		1.26		-0.41		0.47		0		0.27		-0.55	
0.15		0.77		-0.52		-0.16		-0.29		5.33		0		-0.07		0.24	
0.28		-0.26		-0.16		0.04		-0.89		0.69		-1.86		0.12		0.24	
-0.16		0.29		1.56		2.39		-0.5		0.58		0		-0.09		0.85	
-0.61		0.29		1.63		0.22		-0.47		1.08		-2.42		-0.15		-0.22	
0.13		0.29		1.63		0.2		-0.47		-0.22		0		1.19		0.06	
-0.16		-0.98		1.75		-0.97		-0.47		-0.27		0		0.14		0.06	
0.43		0.78		-0.64		-0.3		-1.42		1.21		0		0.21		0.72	
